1,2022-3-30 13:30,1 hour,Pacific/Honolulu,I am angry about pottery
2,2022-4-15 14:15,1 hour,America/Chicago,Important topic: artists
3,2022-3-30 11:0,2 hour,America/Los_Angeles,Important topic: bears
4,2022-3-29 10:0,1 hour,America/Iqaluit,Thoughts on pipes
5,2022-3-4 16:0,15 min,Pacific/Honolulu,I love paper boys and you should too!
6,2022-4-17 11:30,30 min,America/Los_Angeles,I am angry about marionettes
7,2022-4-29 11:15,30 min,Atlantic/Bermuda,Ruminations on the existence of pilots
8,2022-4-30 15:30,15 min,America/New_York,I am angry about armies
9,2022-3-18 15:15,15 min,America/Los_Angeles,I love shoes and you should too!
10,2022-3-17 11:0,1 hour,America/Los_Angeles,Thoughts on billiards
11,2022-4-9 14:15,15 min,America/Los_Angeles,Thoughts on armies
12,2022-3-25 8:30,15 min,America/Barbados,Important topic: motherhood
13,2022-3-4 12:0,30 min,America/Inuvik,I love blacksmiths and you should too!
14,2022-4-17 15:0,30 min,America/Mazatlan,Ruminations on the existence of playing cards
15,2022-3-27 17:15,1 hour,America/St_Johns,I am angry about vegetables
16,2022-3-30 9:15,30 min,America/Mazatlan,Important topic: newspapers
17,2022-3-27 11:15,30 min,America/St_Johns,Important topic: wrestling
18,2022-4-7 9:30,1 hour,America/New_York,I am angry about carpentry
19,2022-4-24 16:30,30 min,America/Chicago,I am angry about zeppelins
20,2022-3-2 17:30,30 min,America/Denver,I love soccer and you should too!
21,2022-4-5 12:15,1 hour,America/Denver,Ruminations on the existence of golf
22,2022-3-18 12:30,15 min,America/Denver,Important topic: tanning
23,2022-3-11 12:0,1 hour,America/Winnipeg,Ruminations on the existence of donkeys
24,2022-4-12 14:15,30 min,America/Nome,Thoughts on spiritism
25,2022-4-1 8:0,30 min,America/Denver,Thoughts on rhinoceros
26,2022-4-2 14:30,30 min,America/Los_Angeles,I am angry about bears
27,2022-3-7 9:30,15 min,America/Toronto,I am angry about politics
28,2022-3-12 15:15,1 hour,America/Monterrey,I am angry about murderers
29,2022-4-10 11:30,30 min,America/Toronto,I love engineering and you should too!
30,2022-4-10 16:0,30 min,America/Denver,Important topic: disasters
31,2022-4-15 17:0,30 min,America/Los_Angeles,Ruminations on the existence of railroads
32,2022-4-16 9:0,2 hour,America/New_York,Important topic: giants
33,2022-3-23 16:30,30 min,America/Santo_Domingo,I am angry about pipes
34,2022-4-22 16:30,15 min,America/Anchorage,I love rhinoceros and you should too!
35,2022-4-8 14:15,30 min,America/New_York,Important topic: playing cards
36,2022-3-14 15:0,30 min,America/Anchorage,I am angry about crime
37,2022-4-26 14:0,30 min,America/Los_Angeles,Thoughts on giants
38,2022-4-11 12:30,1 hour,America/Mazatlan,Important topic: pottery
39,2022-4-25 17:15,1 hour,Atlantic/Azores,I love frogs and you should too!
40,2022-4-30 8:30,15 min,America/Toronto,Thoughts on printing
41,2022-3-30 10:0,15 min,America/New_York,I love snakes and you should too!
42,2022-3-11 12:30,30 min,Pacific/Honolulu,Ruminations on the existence of volcanoes
43,2022-3-22 12:15,30 min,America/Denver,I love gorillas and you should too!
44,2022-4-2 16:30,15 min,America/Anchorage,Thoughts on snakes
45,2022-3-27 13:15,30 min,Atlantic/Bermuda,I am angry about mummies
46,2022-3-27 17:30,15 min,America/St_Johns,Ruminations on the existence of clowns
47,2022-3-6 11:15,30 min,America/New_York,Ruminations on the existence of playing cards
48,2022-4-23 9:30,15 min,America/Inuvik,I am angry about cactus
49,2022-4-12 12:15,1 hour,America/Vancouver,Thoughts on criminals
50,2022-3-12 11:30,15 min,America/Managua,I am angry about football
51,2022-3-10 16:15,2 hour,America/Regina,Thoughts on artists
52,2022-3-16 15:15,30 min,America/Chicago,Important topic: rugby
53,2022-4-18 11:15,15 min,America/Bogota,Important topic: rice
54,2022-3-17 16:15,30 min,America/Regina,Important topic: oil
55,2022-3-17 16:30,30 min,America/Anchorage,I love hunting and you should too!
56,2022-3-29 8:30,30 min,America/Mazatlan,Thoughts on wrestling
57,2022-4-10 10:30,30 min,America/Juneau,I love justice and you should too!
58,2022-4-6 8:30,30 min,Asia/Anadyr,Ruminations on the existence of tanning
59,2022-3-17 11:30,30 min,America/Detroit,Ruminations on the existence of bears
60,2022-3-16 8:15,30 min,America/Vancouver,Ruminations on the existence of zebras
61,2022-4-28 16:0,1 hour,America/Los_Angeles,I am angry about blacksmiths
62,2022-3-21 14:0,30 min,America/New_York,Important topic: giants
63,2022-4-19 16:0,4 hour,America/Juneau,Ruminations on the existence of World War 1
64,2022-4-18 16:15,30 min,America/Mazatlan,Ruminations on the existence of frogs
65,2022-4-19 15:0,15 min,America/Boise,I am angry about crime
66,2022-3-16 10:30,1 hour,America/Los_Angeles,Ruminations on the existence of bakeries
67,2022-3-23 13:30,15 min,America/Tijuana,Important topic: Olympic games
68,2022-4-4 10:15,1 hour,Atlantic/Bermuda,I am angry about volleyball
69,2022-3-10 10:0,1 hour,America/Anchorage,I love tanning and you should too!
